input_name,author_name,orcid,citation_year,citations
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,2024,3
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,2025,8
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2012,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2013,2
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2014,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2015,7
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2016,4
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2017,2
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2018,6
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2019,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2020,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2021,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2022,5
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2023,2
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2024,8
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2025,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2017,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2020,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2021,3
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2022,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2023,10
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2024,12
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2025,84
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2026,30
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2012,5
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2013,3
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2014,6
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2015,8
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2016,5
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2017,7
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2018,6
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2019,4
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2020,11
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2021,5
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2022,4
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2023,14
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2024,2
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2025,5
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2026,1
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2012,268
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2013,251
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2014,208
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2015,278
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2016,209
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2017,199
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2018,269
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2019,212
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2020,442
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2021,451
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2022,402
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2023,370
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2024,393
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2025,359
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,2026,54
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2012,1
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2013,2
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2014,1
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2015,10
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2016,9
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2017,6
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2018,10
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2019,19
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2020,16
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2021,11
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2022,27
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2023,22
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2024,23
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2025,29
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2026,3
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2012,14
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2013,10
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2014,14
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2015,17
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2016,27
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2017,30
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2018,49
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2019,47
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2020,57
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2021,72
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2022,64
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2023,48
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2024,51
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2025,34
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2026,5
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2012,11
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2013,13
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2014,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2015,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2016,8
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2017,4
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2018,4
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2019,9
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2020,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2021,7
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2022,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2023,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2024,20
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2025,11
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2026,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2012,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2013,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2014,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2015,3
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2016,7
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2017,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2018,6
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2019,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2020,4
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2021,8
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2022,4
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2023,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2024,7
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2025,5
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2012,1
