input_name,author_name,orcid,year,cited_by_count
"Altamirano, Maximiliano",Maximiliano Altamirano,0000-0002-8203-5455,2021,0
"Altamirano, Maximiliano",Maximiliano Altamirano,0000-0002-8203-5455,2022,0
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,2024,11
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2005,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2006,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2007,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2008,24
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2009,7
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2011,9
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2012,5
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2013,4
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2015,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2017,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2018,3
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2019,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2020,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2021,7
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2024,0
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,2025,0
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2015,2
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2016,0
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2017,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2019,0
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2020,12
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2022,4
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2023,9
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2024,37
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,2025,78
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,1989,0
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,1995,37
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,1996,0
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,1997,44
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2000,0
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2001,82
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2003,19
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2004,0
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2005,26
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,2008,0
