input_name,author_name,orcid,work_openalex_id,title,year,venue,doi,cited_by_count,type,openalex_url,counts_by_year,fwci,is_in_top_10_percent
"Altamirano, Maximiliano",Maximiliano Altamirano,0000-0002-8203-5455,https://openalex.org/W3195871638,Persistence in a large network of locally interacting neurons,2021,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2108.06386,0,preprint,https://openalex.org/W3195871638,[],,
"Altamirano, Maximiliano",Maximiliano Altamirano,0000-0002-8203-5455,https://openalex.org/W4312065917,Persistence in a large network of sparsely interacting neurons,2022,Journal of Mathematical Biology,https://doi.org/10.1007/s00285-022-01844-x,0,article,https://openalex.org/W4312065917,[],0.0,False
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,https://openalex.org/W4401731237,Determining the Optimal Window Duration to Enhance Emotion Recognition Based on Galvanic Skin Response and Photoplethysmography Signals,2024,Electronics,https://doi.org/10.3390/electronics13163333,4,article,https://openalex.org/W4401731237,"[{'year': 2025, 'cited_by_count': 4}]",2.1393,False
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,https://openalex.org/W4399192841,Emotion Recognition Based on Galvanic Skin Response and Photoplethysmography Signals Using Artificial Intelligence Algorithms,2024,"World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany",https://doi.org/10.1007/978-3-031-61960-1_3,6,book-chapter,https://openalex.org/W4399192841,"[{'year': 2025, 'cited_by_count': 3}, {'year': 2024, 'cited_by_count': 3}]",13.8973,True
"Bamonte, Marcos F.",Marcos F. Bamonte,0009-0008-6495-3827,https://openalex.org/W4400254641,Determining the Optimal Window Duration to Enhance Emotion Recognition Based on Galvanic Skin Response and Photoplethysmography Signals,2024,Preprints.org,https://doi.org/10.20944/preprints202407.0058.v1,1,preprint,https://openalex.org/W4400254641,"[{'year': 2025, 'cited_by_count': 1}]",,
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W4200263868,Design of a Low‐Cost Electrical Resistivity Meter for Near Surface Surveys,2021,Earth and Space Science,https://doi.org/10.1029/2020ea001575,7,article,https://openalex.org/W4200263868,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2024, 'cited_by_count': 5}, {'year': 2022, 'cited_by_count': 1}]",1.0947,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2089429873,Rapid evaluation of multifrequency EMI data to characterize buried structures at a historical Jesuit Mission in Argentina,2008,Journal of Applied Geophysics,https://doi.org/10.1016/j.jappgeo.2007.11.006,20,article,https://openalex.org/W2089429873,"[{'year': 2022, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 2}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 3}, {'year': 2013, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",1.7541,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2053583542,Numerical simulation of surface-downhole geoelectrical measurements in order to detect brine plumes,2015,Journal of Applied Geophysics,https://doi.org/10.1016/j.jappgeo.2015.03.013,3,article,https://openalex.org/W2053583542,"[{'year': 2018, 'cited_by_count': 3}]",0.8291,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2068757627,Contribution of the resistivity method to characterize mud walls in a very dry region and comparison with GPR,2011,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2011.03.026,9,article,https://openalex.org/W2068757627,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",1.3052,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2150682249,Hydrocarbon contaminated soil: geophysical‐chemical methods for designing remediation strategies,2009,Near Surface Geophysics,https://doi.org/10.3997/1873-0604.2009020,7,article,https://openalex.org/W2150682249,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 2}]",1.1937,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2164894095,Detection of brine plumes in an oil reservoir using the geoelectric method,2013,Journal of Geophysics and Engineering,https://doi.org/10.1088/1742-2132/10/4/045006,4,article,https://openalex.org/W2164894095,"[{'year': 2018, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",0.5674,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2536502027,"To Project an Order: Interdisciplinary Perspectives on Spatial Construction in the Spanish Colony of Floridablanca (Patagonia, Eighteenth Century)",2008,Historical Archaeology,https://doi.org/10.1007/bf03377151,3,article,https://openalex.org/W2536502027,"[{'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 2}]",0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2070637857,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,2012,Proceedings,https://doi.org/10.3997/2214-4609.20143455,5,article,https://openalex.org/W2070637857,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 1}]",0.2714,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2856844284,Using surface‐downhole ERT for detecting contaminants in deep aquifers due to exploitation of oil reservoirs,2018,Near Surface Geophysics,https://doi.org/10.1002/nsg.12008,2,article,https://openalex.org/W2856844284,"[{'year': 2024, 'cited_by_count': 1}, {'year': 2020, 'cited_by_count': 1}]",0.2065,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2909411851,"Geoelectrical and EMI Studies at an Urban Site in Buenos Aires, Argentina, for Localizing an Old Tunnel",2018,24th European Meeting of Environmental and Engineering Geophysics,https://doi.org/10.3997/2214-4609.201802618,1,article,https://openalex.org/W2909411851,"[{'year': 2021, 'cited_by_count': 1}]",0.2065,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2503712604,Modeling of Case Hardening,2008,,https://doi.org/10.1201/9781420003581.ch12,1,book-chapter,https://openalex.org/W2503712604,[],2.0163,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2012889982,Geoelectric and EMI Methods to Study Soils with Superficial Leakages of Hydrocarbons,2007,Near Surface 2007 - 13th EAGE European Meeting of Environmental and Engineering Geophysics,https://doi.org/10.3997/2214-4609.20146683,0,article,https://openalex.org/W2012889982,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2248560393,Detecting Contaminants in Aquifers through Modeling of Surface-downhole Geoelectrical Data,2015,Proceedings,https://doi.org/10.3997/2214-4609.201413699,0,article,https://openalex.org/W2248560393,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2765811155,"GPR and Geoelectical Studies in a Historical Site in Buenos Aires, Argentina, for Locating an Old Cistern and Evaluating",2017,Proceedings,https://doi.org/10.3997/2214-4609.201702037,0,article,https://openalex.org/W2765811155,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2905035471,Detección de contaminantes en acuíferos mediante el método geoeléctrico: gráficos de sensibilidad como herramienta para la elección de un dispositivo electródico apropiado,2017,CIC-Digital (Comisión de Investigaciones Científicas de la Provincia de Buenos Aires),,0,article,https://openalex.org/W2905035471,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W2954813034,Desarrollo de un equipo para la detección rápida de anomalías eléctricas superficiales en regiones extensas y su aplicación para la caracterización de sitios arqueológicos,2017,,,0,article,https://openalex.org/W2954813034,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W3022884212,Geophysical Prospection at a Buried Spanish Fort in South Argentina,2005,Near Surface 2005 - 11th European Meeting of Environmental and Engineering Geophysics,https://doi.org/10.3997/2214-4609-pdb.13.p076,0,article,https://openalex.org/W3022884212,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W3034189651,Theoretical Fundaments to Obtain Complex Permittivity and Resistivity in CR Method,2019,25th European Meeting of Environmental and Engineering Geophysics,https://doi.org/10.3997/2214-4609.201902418,0,article,https://openalex.org/W3034189651,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W3096344258,Zigomicosi polmonare in un soggetto immunocompetente,2006,,,0,article,https://openalex.org/W3096344258,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W3168516075,Red Nacional de reconocedores de suelos.,2020,,,0,article,https://openalex.org/W3168516075,[],0.0,False
